"ID","Question","Category","Domain","Difficulty","Probability","Anchor","Why It's Asked","Practiced","Practice Date","Self-Rating (1-5)","Notes"
"F-001","Walk me through your resume in about 90 seconds.","Introduction / Generic;Most Probable","HR;Personal","Easy","High","Whole resume","Standard opener; every FAANG loop begins here","No","","",""
"F-002","Tell me about yourself.","Introduction / Generic;Most Probable","HR;Personal","Easy","High","Whole resume","Warm-up staple","No","","",""
"F-003","Why our company specifically?","Introduction / Generic;Most Probable","HR;Personal","Easy","High","Job application","Filters generic applicants","No","","",""
"F-004","Why should we hire you over another New-Grad SDE candidate?","Introduction / Generic","HR;Personal","Medium","High","New-Grad SDE role","Differentiation probe","No","","",""
"F-005","What are your greatest strengths?","Introduction / Generic;Most Probable","HR;Personal","Easy","High","Core Strengths","Standard HR","No","","",""
"F-006","What are your greatest weaknesses?","Introduction / Generic;Most Probable;Weakness / Shortcomings","HR;Personal;Behavioral","Medium","High","Self-awareness","Growth-mindset probe","No","","",""
"F-007","Where do you see yourself in five years?","Introduction / Generic","HR;Personal","Easy","Medium","Career trajectory","Alignment check","No","","",""
"F-008","What excites you most about working at scale (millions of users)?","Introduction / Generic","HR;Personal","Easy","High","FAANG scale","Scale-mindset check","No","","",""
"F-009","What are you looking for in your first full-time role?","Introduction / Generic","HR;Personal","Easy","High","New-grad transition","Motivation probe","No","","",""
"F-010","What technology or research paper are you following closely right now?","Introduction / Generic","Technical;Personal","Easy","Medium","Curiosity signal","Continuous-learning check","No","","",""
"F-011","Which of our products do you use, and what would you improve?","Introduction / Generic","HR;Technical","Medium","High","Company research","Product empathy","No","","",""
"F-012","What do you know about our engineering culture (Leadership Principles / Bar Raiser / etc.)?","Introduction / Generic","HR","Easy","Medium","Company culture","Preparation depth","No","","",""
"F-013","Walk me through your internship at NPT Solution end-to-end.","Internship;Most Probable","Technical","Medium","High","NPT Solution internship","Central experience probe","No","","",""
"F-014","Explain the RBAC system architecture in depth.","Internship;Most Probable","Technical;Fundamentals","Hard","High","Architected RBAC","Deepest probe on strongest claim","No","","",""
"F-015","How is your RBAC system different from Google IAM or AWS IAM?","Internship","Technical;Fundamentals","Hard","Medium","RBAC design","Compare-with-industry probe","No","","",""
"F-016","How would you scale your RBAC service to handle 10M permission checks per second?","Internship","Technical;Fundamentals","Hard","Medium","RBAC scale","Scale reasoning","No","","",""
"F-017","What's your data model for roles, permissions, and role-permission mappings?","Internship","Technical;Fundamentals","Medium","High","RBAC schema","Data modeling","No","","",""
"F-018","How do you handle role hierarchies or inheritance?","Internship","Technical","Medium","Medium","RBAC design","Common design question","No","","",""
"F-019","How do you enforce permissions on individual FastAPI endpoints?","Internship","Technical","Medium","High","Permission enforcement","Implementation depth","No","","",""
"F-020","How do you cache permission decisions? What's the invalidation strategy?","Internship","Technical;Fundamentals","Hard","Medium","Performance concern","Cache-coherence thinking","No","","",""
"F-021","How would you A/B test a change to the permission logic?","Internship","Technical;Behavioral","Hard","Low","Experimentation","Experimentation maturity","No","","",""
"F-022","What multi-tenancy strategy did you use, and what were the alternatives?","Internship;Most Probable","Technical;Fundamentals","Hard","High","Multi-tenant SaaS","SaaS architecture","No","","",""
"F-023","How do you prevent cross-tenant data leakage?","Internship","Technical","Hard","Medium","Multi-tenant safety","Data-isolation discipline","No","","",""
"F-024","Walk me through a single authenticated request from browser to DB and back.","Internship;Most Probable","Technical;Fundamentals","Medium","High","20+ FastAPI endpoints","Request-lifecycle probe","No","","",""
"F-025","What auth scheme is used, and what attack vectors does it protect against?","Internship","Technical;Fundamentals","Hard","High","Centralized authentication","Security thinking","No","","",""
"F-026","How do you handle token refresh and revocation at scale?","Internship","Technical;Fundamentals","Hard","Medium","Auth mechanism","Scale + auth depth","No","","",""
