"ID","Question","Category","Domain","Difficulty","Probability","Anchor","Why It's Asked","Practiced","Practice Date","Self-Rating (1-5)","Notes"
"S-001","Walk me through your resume in about 90 seconds.","Introduction / Generic;Most Probable","HR;Personal","Easy","High","Whole resume","Standard opener; tests structuring, prioritization, and self-narrative","No","","",""
"S-002","Tell me about yourself.","Introduction / Generic;Most Probable","HR;Personal","Easy","High","Whole resume","Baseline warm-up; sets tone for the rest of the loop","No","","",""
"S-003","Why our startup specifically? What do you know about us?","Introduction / Generic;Most Probable","HR;Personal","Easy","High","Job application","Tests genuine research vs mass-applying","No","","",""
"S-004","What excites you about early-stage product companies over MNCs or FAANG?","Introduction / Generic","HR;Personal","Easy","High","New-Grad SDE target","Screens for startup temperament and self-awareness","No","","",""
"S-005","Why are you looking at startups instead of larger firms?","Introduction / Generic","HR;Personal","Easy","High","Career direction","Detects if candidate is here by default or by conviction","No","","",""
"S-006","What are your greatest strengths?","Introduction / Generic;Most Probable","HR;Personal","Easy","High","Core Strengths section","Standard HR probe; expects evidence, not adjectives","No","","",""
"S-007","What are your greatest weaknesses?","Introduction / Generic;Most Probable;Weakness / Shortcomings","HR;Personal;Behavioral","Medium","High","Self-awareness","Tests honesty and growth mindset","No","","",""
"S-008","Where do you see yourself in three years?","Introduction / Generic","HR;Personal","Easy","Medium","Career trajectory","Detects planning and alignment with startup timelines","No","","",""
"S-009","What kind of engineering culture brings out your best work?","Introduction / Generic","HR;Behavioral","Easy","Medium","Team fit","Screens for culture add","No","","",""
"S-010","What are you most passionate about in software engineering?","Introduction / Generic","HR;Personal","Easy","Medium","Passion signal","Tests depth vs surface interest","No","","",""
"S-011","Walk me through your last week — what did you actually build?","Introduction / Generic","Technical;Behavioral","Easy","High","Current work","Cuts through resume polish to real recent activity","No","","",""
"S-012","Are you more of a T-shaped engineer, a generalist, or a specialist?","Introduction / Generic","HR;Behavioral","Easy","Medium","Career shape","Startup fit — most startups value T-shaped/generalist","No","","",""
"S-013","What technology or trend are you following closely right now?","Introduction / Generic","Technical;Personal","Easy","Medium","Curiosity signal","Detects continuous learning","No","","",""
"S-014","If we hired you tomorrow, what's the first thing you'd learn about our stack?","Introduction / Generic","Technical;Personal","Easy","Medium","Onboarding readiness","Tests proactivity and framing","No","","",""
"S-015","What's your understanding of what we build and who our users are?","Introduction / Generic","HR","Easy","High","Company research","Filters out mass-applicants","No","","",""
"S-016","Walk me through what NPT Solution does and where PawsPal Connect fits.","Internship;Most Probable","Technical;HR","Easy","High","NPT Solution internship","Tests context and communication","No","","",""
"S-017","What does 'multi-tenant healthcare SaaS' mean in your specific context?","Internship;Most Probable","Technical","Medium","High","Multi-tenant SaaS platform claim","Tests whether the phrase is understood or copy-pasted","No","","",""
"S-018","Explain the RBAC system you architected end-to-end.","Internship;Most Probable","Technical;Fundamentals","Hard","High","Architected RBAC","Deepest probe on the strongest resume claim","No","","",""
"S-019","How is the RBAC configurable — walk me through adding a new role at runtime.","Internship","Technical","Medium","High","Configurable RBAC","Tests whether 'configurable' is real or aspirational","No","","",""
"S-020","What's the data model for roles, permissions, and role-permission mappings?","Internship","Technical;Fundamentals","Medium","High","RBAC data model","Tests DB modeling discipline","No","","",""
"S-021","How do you handle role hierarchies or inheritance?","Internship","Technical","Medium","Medium","RBAC design","Common RBAC design question","No","","",""
"S-022","How do you enforce permissions on individual FastAPI endpoints?","Internship","Technical","Medium","High","Permission enforcement mechanism","Framework-specific implementation depth","No","","",""
"S-023","Where does the permission check live — decorator, dependency, middleware, or route handler?","Internship","Technical","Medium","High","Centralized permission enforcement","Design taste check","No","","",""
"S-024","How do you cache permission lookups to avoid a DB hit per request?","Internship","Technical;Fundamentals","Medium","Medium","Performance concern","Tests performance thinking","No","","",""
"S-025","How would you audit who changed a role and when?","Internship","Technical","Medium","Medium","Role lifecycle management","Compliance-thinking check","No","","",""
"S-026","What multi-tenancy strategy did you choose — shared DB shared schema, shared DB separate schema, or separate DB per tenant — and why?","Internship;Most Probable","Technical;Fundamentals","Hard","High","Multi-tenant SaaS","Central SaaS architecture question","No","","",""
"S-027","How do you prevent one tenant's queries from leaking into another's data?","Internship","Technical","Hard","Medium","Multi-tenant safety","Tests data-isolation discipline","No","","",""
